control : 26.56270082506576 , a_p : 1.429558515548706 1.429558515548706
control : 27.263071539432726 , a_p : 2.296781301498413 2.296781301498413
control : 34.33926639837921 , a_p : 8.424506187438965 8.424506187438965
control : 28.98052555925294 , a_p : 2.279392957687378 2.279392957687378
control : 38.17729577841436 , a_p : 11.819197654724121 9.819197654724121
control : 14.909681379424743 , a_p : 6.141949748992921 4.04194974899292
control : 25.630854121534057 , a_p : 5.496797513961793 3.296797513961792
control : 6.0550016263677335 , a_p : 10.834774780273438 8.534774780273438
control : 20.067076869527842 , a_p : 5.049644613265992 2.649644613265991
control : 31.537799639823884 , a_p : 3.2495155930519104 0.7495155930519104
control : 24.11758598689609 , a_p : 2.229803746938707 -0.37019625306129456
control : 14.678262580983466 , a_p : 2.623911139369012 -0.07608886063098907
control : 9.83489754465999 , a_p : 3.6126823306083686 0.8126823306083679
control : -28.214297012418804 , a_p : 18.892166519165038 15.992166519165037
control : -9.020722735182595 , a_p : 15.184334754943848 12.184334754943848
control : 21.770370773661362 , a_p : 13.103351211547853 10.003351211547852
control : 25.83458238720363 , a_p : 11.980939102172853 8.780939102172852
control : 34.67839626148658 , a_p : 7.1791263103485115 3.8791263103485107
control : 22.18355394691902 , a_p : 9.88825740814209 6.48825740814209
control : 17.676947560018377 , a_p : 8.651940822601318 5.151940822601318
control : 16.16951688960522 , a_p : 9.499945735931398 5.8999457359313965
control : 16.608403974015985 , a_p : 9.48664541244507 5.786645412445068
control : 17.38217718581776 , a_p : 9.733450222015382 5.933450222015381
control : 21.561854321234694 , a_p : 8.20816125869751 4.30816125869751
control : 13.980571868245201 , a_p : 10.53315258026123 6.5331525802612305
control : 18.007008213290476 , a_p : 8.582261180877687 4.4822611808776855
control : 24.724152088983487 , a_p : 6.80866928100586 2.6086692810058594
control : 25.753600298834673 , a_p : 4.873119997978211 0.5731199979782104
control : 19.681596255728312 , a_p : 4.96039959192276 0.56039959192276
control : 19.245504021876652 , a_p : 3.360797166824341 -1.1392028331756592
control : 14.614898262045365 , a_p : 3.485624766349794 -1.1143752336502075
control : 13.067712057954026 , a_p : 1.9226731777191173 -2.777326822280884
control : 15.667595878074392 , a_p : 3.247418928146363 -1.5525810718536377
control : 13.720348169403904 , a_p : 1.8276738166809086 -3.072326183319092
control : 21.283258260045493 , a_p : 3.663164496421814 -1.336835503578186
control : 15.26236117973298 , a_p : 2.543203687667848 -2.5567963123321533
control : 5.3734373186061015 , a_p : 4.12284917831421 -1.077150821685791
control : 8.46821458215809 , a_p : 3.068714904785157 -2.2312850952148438
control : 4.81988188883579 , a_p : 5.024045699834824 -0.3759543001651764
control : 6.914033040444451 , a_p : 4.223107218742371 -1.2768927812576294
control : 3.835144681373614 , a_p : 6.273326075077058 0.6733260750770569
control : 6.436204449033248 , a_p : 5.504617941379548 -0.19538205862045288
control : 3.4885045644494266 , a_p : 7.545578289031983 1.7455782890319824
control : 5.316617930020893 , a_p : 7.083749914169312 1.1837499141693115
control : 1.390223744523108 , a_p : 9.659024238586426 3.659024238586426
control : 2.977816713684444 , a_p : 9.649190282821657 3.5491902828216553
control : 12.182919512834937 , a_p : 7.704552960395814 1.504552960395813
