control : 29.59382800034602 , a_p : 4.561113595962524 3.0611135959625244
control : 26.262367016643736 , a_p : 2.737213230133058 1.1372132301330566
control : 28.458076617108983 , a_p : 4.779214334487916 3.079214334487915
control : 29.23994943732051 , a_p : 5.476521062850953 3.676521062850952
control : 28.87712142416951 , a_p : 4.805559301376343 2.9055593013763428
control : 29.88460293862876 , a_p : 5.692105293273926 3.692105293273926
control : 31.538691673275856 , a_p : 5.963085746765138 3.8630857467651367
control : 32.73278543603787 , a_p : 7.824547004699708 5.624547004699707
control : 32.21069595058016 , a_p : 7.429074573516846 5.129074573516846
control : 31.776817801426944 , a_p : 6.13011589050293 3.7301158905029297
control : 34.480177161267676 , a_p : 10.323160171508789 7.823160171508789
control : 28.939664033029402 , a_p : 4.917540884017946 2.3175408840179443
control : 31.543757627855804 , a_p : -1.0000319957733144 -3.7000319957733154
control : 10.503133516338542 , a_p : 7.330861377716065 4.5308613777160645
control : 20.103544408730716 , a_p : -0.996576642990112 -3.8965766429901123
control : -6.72177032966669 , a_p : 15.320904731750488 12.320904731750488
control : 35.645061378998236 , a_p : 15.378403282165529 12.278403282165527
control : 35.64177327818254 , a_p : 13.374211502075196 10.174211502075195
control : 18.283613053434664 , a_p : 13.518539237976075 10.218539237976074
control : 32.902961426637376 , a_p : 11.553596878051758 8.153596878051758
control : 20.865644109549024 , a_p : 10.417519092559814 6.9175190925598145
control : 14.268180874625765 , a_p : 11.76609287261963 8.166092872619629
control : 31.529651247062247 , a_p : 10.134844493865968 6.434844493865967
control : 29.453561380957108 , a_p : 7.723720121383668 3.923720121383667
control : 17.077050388670056 , a_p : 8.533203506469727 4.633203506469727
control : 29.083055743810416 , a_p : 8.148077011108398 4.148077011108398
control : 30.85568242932456 , a_p : 10.765131092071535 6.665131092071533
control : 29.5660982118595 , a_p : 9.404751014709474 5.204751014709473
control : 28.29038039028884 , a_p : 8.182263660430909 3.882263660430908
control : 15.686321693557046 , a_p : 6.909955644607544 2.509955644607544
control : 28.944929719317077 , a_p : 5.645120024681091 1.1451200246810913
control : 14.427155725279762 , a_p : 4.721052101254465 0.1210521012544632
control : 26.593100820028685 , a_p : 3.872447383403779 -0.8275526165962219
control : 17.975648430666162 , a_p : 3.253365325927735 -1.5466346740722656
control : 15.744140350700135 , a_p : 2.9629670619964603 -1.93703293800354
control : 12.541499847104205 , a_p : 2.7425689697265625 -2.2574310302734375
control : 5.929330116428777 , a_p : 3.062756156921388 -2.0372438430786133
control : 5.393350249842531 , a_p : 3.1771411418914806 -2.0228588581085205
control : 5.9434177668719075 , a_p : 3.2472088813781745 -2.052791118621826
control : 3.76285036187984 , a_p : 4.279364490509034 -1.1206355094909668
control : 3.7294783387077084 , a_p : 4.046496748924255 -1.4535032510757446
control : 3.4496779797154025 , a_p : 4.88492844104767 -0.7150715589523315
control : 3.197116059480449 , a_p : 5.279812139272691 -0.4201878607273102
control : 1.8379760422302378 , a_p : 6.5606830596923835 0.7606830596923828
control : 1.4079115044322938 , a_p : 7.191873335838318 1.2918733358383179
control : 2.7025127076106794 , a_p : 7.749055981636047 1.7490559816360474
control : 2.680838760640468 , a_p : 8.606232738494874 2.506232738494873
control : 2.185539862276885 , a_p : 9.45046992301941 3.250469923019409
control : 6.853027016993896 , a_p : 7.579345035552979 1.2793450355529785
control : 9.799003376895485 , a_p : 6.686553949117661 0.2865539491176605
control : 6.793151811082824 , a_p : 6.621585808694363 0.12158580869436264
control : 6.264840707543497 , a_p : 5.485263681411745 -1.1147363185882568
control : 4.5997099887370805 , a_p : 6.101618421077729 -0.5983815789222717
control : 3.3871028872931994 , a_p : 5.242306518554688 -1.5576934814453125
control : 2.569984583725729 , a_p : 5.435195350646973 -1.4648046493530273
control : 1.487344994717784 , a_p : 5.435182809829712 -1.564817190170288
control : 0.7117715007394612 , a_p : 5.723142957687379 -1.376857042312622
control : 0.10293452336080655 , a_p : 5.935501766204835 -1.264498233795166
control : -2.9427192896967025 , a_p : 7.60059376358986 0.300593763589859
control : -4.8307541752355645 , a_p : 8.206255996227265 0.8062559962272644
control : -3.3263135381655475 , a_p : 8.227652668952942 0.7276526689529419
control : -1.3621062669875013 , a_p : 8.2168891787529 0.6168891787528992
control : -0.8751182090716014 , a_p : 8.722410154342652 1.0224101543426514
control : 0.23094085485879212 , a_p : 8.363926458358765 0.5639264583587646
control : 0.7492320811224094 , a_p : 8.993831181526184 1.093831181526184
control : 2.1014268000197642 , a_p : 8.689404785633087 0.6894047856330872
control : 3.40237288481692 , a_p : 8.22675128877163 0.12675128877162933
control : 3.19928427003385 , a_p : 8.102835205197334 -0.09716479480266571
control : 2.5485466906546623 , a_p : 8.085917833447457 -0.21408216655254364
control : 2.615440808517402 , a_p : 7.6799408435821555 -0.7200591564178467
control : 2.0337044159456 , a_p : 7.675836145877838 -0.8241638541221619
control : 0.09177453800899826 , a_p : 8.041895484924318 -0.5581045150756836
control : -0.5565087704189473 , a_p : 7.959873867034911 -0.7401261329650879
control : -1.6867359022709216 , a_p : 8.324315506219865 -0.4756844937801361
control : -5.161411125590018 , a_p : 9.376581633090975 0.4765816330909729
control : -4.258206157501672 , a_p : 9.238395944237709 0.23839594423770905
control : -1.2276952535357157 , a_p : 9.090363927558066 -0.00963607244193554
control : -0.7929495783973781 , a_p : 9.151192039996385 -0.048807960003614426
control : -2.049473906381669 , a_p : 10.225710260868073 0.9257102608680725
